,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1428,SP,INDUSTRIA DIGITAL,140000.0,38000.0,493,4.0005,680,18.9,68797.827,86675.22,46918.63
1429,PR,SERVICOS ADMINISTRATIVOS,100000.0,0.0,267,5.124,0,6.3,10855.215,12110.34,0.0
1430,SP,SERVICOS PROFISSIONAIS E TECNICOS,125000.0,335000.0,578,4.0215,0,12.6,66959.424,76669.08,0.0
1431,AC,SERVICOS DE ALOJAMENTO/ALIMENTACAO,10000.0,0.0,358,5.7645,0,12.6,5548.641,6990.12,0.0
1432,MG,SERVICOS PROFISSIONAIS E TECNICOS,26000.0,40000.0,305,5.712,1073,12.6,9989.049,12815.16,7124.19
1433,GO,SERVICOS DIVERSOS,22000.0,6000.0,633,5.607,0,12.6,8926.722,11101.56,0.0
1434,MT,SERVICOS ADMINISTRATIVOS,150000.0,227000.0,221,4.221,0,12.6,11154.9375,12725.4,0.0
1435,RJ,VAREJO,90000.0,3000.0,275,4.6725,1109,12.6,50218.5285,59633.4,49327.37
1436,MG,ATACADO,40000.0,19000.0,151,5.6385,0,12.6,16646.7315,20976.72,0.0
1437,RJ,SERVICOS ADMINISTRATIVOS,17500.0,0.0,318,5.0925,0,12.6,13316.9295,16207.08,0.0
1438,SP,SIDERURGICA-METALURGIA,240000.0,114739.0,448,4.473,1330,12.6,55795.8555,65389.8,37473.67
1439,SP,VAREJO,80000.0,0.0,247,5.0295,0,12.6,13316.646,16112.88,0.0
1440,RJ,SERVICOS PROFISSIONAIS E TECNICOS,170000.0,93000.0,351,4.7565,0,9.45,33004.3665,37168.2,0.0
1441,SP,VAREJO,50000.0,51000.0,437,4.2945,0,12.6,11099.529,13178.64,0.0
1442,RJ,TELECOM,80000.0,0.0,583,4.053,0,12.6,44636.067,51059.52,0.0
1443,DF,QUIMICA-PETROQUIMICA,30000.0,50000.0,260,4.7145,0,12.6,11098.5945,13379.28,0.0
